"hora_corte","mpo_nombre","municipio","distrito","section","prioridad","prediccion","estatus_mov_corta"
10,"Agua Prieta",2,2,260006,"Media alta",35.9675927824938,"Abajo de lo esperado"
10,"Agua Prieta",2,2,260007,"Media alta",35.4846478930677,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260008,"Alta",33.1413201566067,"Abajo de lo esperado"
10,"Agua Prieta",2,2,260009,"Alta",29.5151479339668,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260011,"Media alta",31.714072145062,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260012,"Media alta",33.9962082749144,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260013,"Media baja",34.5919687932089,"Abajo de lo esperado"
10,"Agua Prieta",2,2,260017,"Alta",22.2897007578538,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260019,"Alta",27.9286608018004,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260020,"Alta",27.7799012954092,"Arriba de lo esperado"
10,"Agua Prieta",2,2,260021,"Alta",31.0691021268917,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260022,"Alta",27.3115217758977,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260023,"Alta",25.0624578090817,"Arriba de lo esperado"
10,"Agua Prieta",2,2,260024,"Alta",24.2330890127873,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260025,"Alta",27.9710198616553,"Abajo de lo esperado"
10,"Agua Prieta",2,2,260027,"Baja",23.5089962825327,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260031,"Alta",26.8931834603337,"Dentro de lo esperado"
10,"Agua Prieta",2,2,260032,"Baja",24.6096374253544,"Dentro de lo esperado"
10,"Altar",3,1,260035,"Alta",28.7925501102429,"Dentro de lo esperado"
10,"Altar",3,1,260037,"Baja",19.8964937886046,"Arriba de lo esperado"
10,"Altar",3,1,261362,"Media baja",23.0017549686772,"Arriba de lo esperado"
10,"Arizpe",5,2,260041,"Media baja",33.7018301938218,"Abajo de lo esperado"
10,"Arizpe",5,2,260042,"Media alta",33.2413616648921,"Dentro de lo esperado"
10,"Arizpe",5,2,260044,"Media baja",29.5928076078473,"Dentro de lo esperado"
10,"Bacadéhuachi",7,4,260047,"Alta",34.5745800734568,"Dentro de lo esperado"
10,"Bacerac",9,4,260052,"Media alta",31.1454283859985,"Dentro de lo esperado"
10,"Bacoachi",10,2,260054,"Media alta",38.0172045345581,"Dentro de lo esperado"
10,"Banámichi",11,4,260056,"Media baja",34.571649038278,"Dentro de lo esperado"
10,"Banámichi",11,4,260057,"Media baja",34.6311671722079,"Arriba de lo esperado"
10,"Benjamín Hill",14,4,260066,"Media alta",31.2190160833627,"Arriba de lo esperado"
10,"Benjamín Hill",14,4,260067,"Media baja",31.2072022448173,"Dentro de lo esperado"
10,"Benjamín Hill",14,4,260068,"Media alta",33.2281683416135,"Arriba de lo esperado"
10,"Cananea",15,2,260070,"Media alta",34.2311971219341,"Dentro de lo esperado"
10,"Cananea",15,2,260071,"Media alta",37.197754813393,"Arriba de lo esperado"
10,"Cananea",15,2,260072,"Media alta",34.3844114957575,"Dentro de lo esperado"
10,"Cananea",15,2,260073,"Alta",34.8350173421455,"Dentro de lo esperado"
10,"Cananea",15,2,260074,"Alta",39.4899053892313,"Dentro de lo esperado"
10,"Cananea",15,2,260075,"Alta",35.0970898412973,"Dentro de lo esperado"
10,"Cananea",15,2,260081,"Media baja",37.9218486253891,"Dentro de lo esperado"
10,"Cananea",15,2,260083,"Alta",29.8507406158371,"Dentro de lo esperado"
10,"Cananea",15,2,260085,"Media baja",34.9474995938093,"Abajo de lo esperado"
10,"Cananea",15,2,260086,"Baja",33.4503804382343,"Dentro de lo esperado"
10,"Cananea",15,2,260087,"Baja",32.0866730827508,"Abajo de lo esperado"
10,"Cananea",15,2,260088,"Media baja",33.7629370123932,"Abajo de lo esperado"
10,"Cumpas",17,4,260092,"Media baja",37.9768835359582,"Dentro de lo esperado"
10,"Cumpas",17,4,260093,"Media alta",36.8450996505907,"Dentro de lo esperado"
10,"Cumpas",17,4,260096,"Media alta",35.8004826152561,"Dentro de lo esperado"
10,"Cumpas",17,4,260097,"Media baja",37.2770537904357,"Dentro de lo esperado"
10,"Cumpas",17,4,260099,"Media baja",38.77797951246,"Dentro de lo esperado"
10,"Fronteras",19,2,260101,"Media alta",34.0517085369003,"Dentro de lo esperado"
10,"Fronteras",19,2,260103,"Alta",30.8306487048065,"Dentro de lo esperado"
10,"Huachinera",21,4,260107,"Media baja",34.5917165366997,"Dentro de lo esperado"
10,"Huachinera",21,4,260108,"Baja",33.3042396624231,"Dentro de lo esperado"
10,"Huásabas",22,4,260109,"Media alta",38.0623941938364,"Dentro de lo esperado"
10,"Imuris",24,2,260112,"Media alta",26.0823394768993,"Dentro de lo esperado"
10,"Imuris",24,2,260113,"Alta",29.0898226083638,"Dentro de lo esperado"
